snapped_at,price,market_cap,total_volume
2023-06-23 00:00:00 UTC,0.006805012871056383,0.0,3390109.846114499
2023-06-24 00:00:00 UTC,0.006805012871056383,0.0,3390109.846114499
2023-06-25 00:00:00 UTC,0.0037866570061447936,0.0,1404504.7792720194
2023-06-26 00:00:00 UTC,0.004185682206529559,0.0,589391.0121518214
2023-06-27 00:00:00 UTC,0.003664564053969512,0.0,497350.0185734133
2023-06-28 00:00:00 UTC,0.0037355591011858694,0.0,491857.90889360243
2023-06-29 00:00:00 UTC,0.002141350091110609,0.0,283520.6914780913
2023-06-30 00:00:00 UTC,0.002106710065463345,0.0,280882.69637881714
2023-07-01 00:00:00 UTC,0.001520302779702762,0.0,134770.46658968407
2023-07-02 00:00:00 UTC,0.001979328406323136,0.0,101020.905842432
2023-07-03 00:00:00 UTC,0.0013981179942414961,0.0,65275.64257846292
2023-07-04 00:00:00 UTC,0.002793763738453002,0.0,103394.07657361182
2023-07-05 00:00:00 UTC,0.00229663725706066,0.0,88341.2829705347
2023-07-06 00:00:00 UTC,0.0018431556269563536,0.0,114555.98947760004
2023-07-07 00:00:00 UTC,0.0013615386884778598,0.0,61164.658935930565
2023-07-08 00:00:00 UTC,0.0015024458667121559,0.0,38894.51071232431
2023-07-09 00:00:00 UTC,0.0011371118199991887,0.0,25123.650526095058
2023-07-10 00:00:00 UTC,0.0010461606485363737,0.0,40234.49411311468
2023-07-11 00:00:00 UTC,0.0008206840370628722,0.0,41433.94774275717
2023-07-12 00:00:00 UTC,0.0006919259432005167,0.0,29692.414094028773
2023-07-13 00:00:00 UTC,0.0006887718653889323,0.0,11830.309722003498
2023-07-14 00:00:00 UTC,0.000752096897938871,0.0,14466.082493444332
2023-07-15 00:00:00 UTC,0.0009161111807455979,0.0,30785.43386153655
2023-07-16 00:00:00 UTC,0.0008314149345614527,0.0,7377.399801254558
2023-07-17 00:00:00 UTC,0.00087259116062518,0.0,10675.69240782262
2023-07-18 00:00:00 UTC,0.0015298782301610351,0.0,40863.33508047707
2023-07-19 00:00:00 UTC,0.0013163164014110913,0.0,36432.331952288245
2023-07-20 00:00:00 UTC,5.299584793815598e-05,0.0,116047.0300324447
2023-07-21 00:00:00 UTC,4.873471496990084e-05,0.0,1679.223076465704
2023-07-22 00:00:00 UTC,4.9325315362416444e-05,0.0,344.4626217971947
2023-07-23 00:00:00 UTC,4.713374157578181e-05,0.0,452.175296872216
2023-07-24 00:00:00 UTC,4.71437319791082e-05,0.0,200.62250877740146
2023-07-25 00:00:00 UTC,4.60024012501104e-05,0.0,22.25044143665338
2023-07-26 00:00:00 UTC,4.648173467210156e-05,0.0,19.992295844457136
