snapped_at,price,market_cap,total_volume
2020-12-21 00:00:00 UTC,0.2807747747534086,122344209.79729757,5954951.914026865
2020-12-22 00:00:00 UTC,0.2807747747534086,122344209.79729757,5954951.914026865
2020-12-23 00:00:00 UTC,0.04934938685530296,19624950.589139923,79851115.05824085
2020-12-24 00:00:00 UTC,0.05573973649804567,23696079.78901064,39479050.41859754
2020-12-25 00:00:00 UTC,0.05300157690769668,22832218.969922673,18563563.03785056
2020-12-26 00:00:00 UTC,0.04782272611445406,20230386.96058403,13053138.378216837
2020-12-27 00:00:00 UTC,0.04361458773932213,18600019.054994483,6796187.712924014
2020-12-28 00:00:00 UTC,0.039975604971894535,17243017.041283365,8026220.744250165
2020-12-29 00:00:00 UTC,0.03262201527999573,13979974.477419505,4902227.626221272
2020-12-30 00:00:00 UTC,0.02405511042008335,10189639.103008099,7036120.9894237295
2020-12-31 00:00:00 UTC,0.030847316541616942,13203097.469205903,6054955.950971159
2021-01-01 00:00:00 UTC,0.025277912134958166,10969694.431372289,10039266.43883293
2021-01-02 00:00:00 UTC,0.024810360764753122,10570587.091619533,3677102.189223018
2021-01-03 00:00:00 UTC,0.022762317786065463,9751826.040763313,2989515.84984474
2021-01-04 00:00:00 UTC,0.021336842225392543,9170808.29006572,3453055.3029697128
2021-01-05 00:00:00 UTC,0.024628428094761366,10354177.658557711,4897723.198322945
2021-01-06 00:00:00 UTC,0.030034265563219992,13039385.382311536,8799044.785306605
2021-01-07 00:00:00 UTC,0.02779071111044837,11885450.64139144,4779834.482552607
2021-01-08 00:00:00 UTC,0.026508189521066015,11339077.375155678,3694641.193380375
2021-01-09 00:00:00 UTC,0.024932409005640362,10701034.794863556,2888349.262054158
2021-01-10 00:00:00 UTC,0.029405727718981145,12248652.96760347,4096690.0442793025
2021-01-11 00:00:00 UTC,0.027755157770117406,11991364.099700527,3937391.3239925965
2021-01-12 00:00:00 UTC,0.028026339173517135,11682271.302390335,5118282.110876816
2021-01-13 00:00:00 UTC,0.03260771613423909,13881483.199575242,4626252.092905813
2021-01-14 00:00:00 UTC,0.0336160617087527,14471590.039642956,4431909.384103882
2021-01-15 00:00:00 UTC,0.03103404889528049,13177769.818973195,4089938.134864535
2021-01-16 00:00:00 UTC,0.030246468930313908,13087798.062239824,4023635.7286953703
