snapped_at,price,market_cap,total_volume
2020-10-26 00:00:00 UTC,10.378403847709492,1979517.577162993,3400584.7503346745
2020-10-27 00:00:00 UTC,10.378403847709492,1979517.577162993,3400584.7503346745
2020-10-28 00:00:00 UTC,7.148161643749769,1060814.22165189,1835910.668811775
2020-10-29 00:00:00 UTC,4.389377958498527,772352.2452135809,1057330.020045869
2020-10-30 00:00:00 UTC,7.67231328015836,1338702.8307459904,3092739.7698953357
2020-10-31 00:00:00 UTC,7.938006013044793,1319347.7859988562,1954425.6219655399
2020-11-01 00:00:00 UTC,6.096450423039553,964738.1083177313,691364.3104399303
2020-11-02 00:00:00 UTC,7.234610735591155,1186862.6777894995,657680.3351244108
2020-11-03 00:00:00 UTC,9.98204844072345,1668089.0237768195,2546329.0676356237
2020-11-04 00:00:00 UTC,9.31598708920998,1686794.4873387765,1986793.1402837352
2020-11-05 00:00:00 UTC,14.02564760963731,2397964.38367874,3258551.214749941
2020-11-06 00:00:00 UTC,14.971165840046947,2669714.9292093953,3200958.6246107128
2020-11-07 00:00:00 UTC,16.119725516260342,2885568.497833734,1988084.2829572696
2020-11-08 00:00:00 UTC,15.282374229526562,3018457.7179177357,2283125.3271678234
2020-11-09 00:00:00 UTC,17.40741119578762,3347987.8614961775,2013514.8601763921
2020-11-10 00:00:00 UTC,15.803085055452637,3098787.1183416704,1703538.3511944413
2020-11-11 00:00:00 UTC,14.26816198825461,2836939.707690454,1564798.0242539917
2020-11-12 00:00:00 UTC,14.924485837019677,3014907.3495021616,1230865.7846785365
2020-11-13 00:00:00 UTC,14.605354327469884,2902626.6176888687,1320485.5660894231
2020-11-14 00:00:00 UTC,14.025075550875126,2804800.2690997072,1316677.622365721
2020-11-15 00:00:00 UTC,14.31820990002307,2850890.123751698,1492555.5797039575
2020-11-16 00:00:00 UTC,14.79660808163616,2969467.243748309,1288503.1842206372
2020-11-17 00:00:00 UTC,13.937868756208218,2790635.315156537,1295045.8879625993
2020-11-18 00:00:00 UTC,13.013871653296231,2598466.885426076,1707711.898690902
2020-11-19 00:00:00 UTC,11.494735550988786,2335420.1039934694,981756.6496210609
2020-11-20 00:00:00 UTC,11.183494380281932,2245218.9629763826,1070574.095277851
2020-11-21 00:00:00 UTC,12.964020301358389,2602552.437502694,1119286.597437829
2020-11-22 00:00:00 UTC,22.53509774174084,3746522.205917542,3429560.208282855
2020-11-23 00:00:00 UTC,23.101598934081462,4459884.215659326,5383001.930893369
2020-11-24 00:00:00 UTC,22.363146149445118,4456824.444571648,2488750.119756856
2020-11-25 00:00:00 UTC,23.12636910112806,4706403.522143472,2306698.1143330773
2020-11-26 00:00:00 UTC,23.954206406979846,6010373.055893464,2007677.0440834751
2020-11-27 00:00:00 UTC,19.34906382862277,4857153.249260108,1698613.443269502
2020-11-28 00:00:00 UTC,20.17333386033816,5283971.014518906,1933361.0769164194
2020-11-29 00:00:00 UTC,22.472681571320688,5911476.266083867,1874325.8340364369
2020-11-30 00:00:00 UTC,22.09132062017611,5785774.718421284,2328239.6223626886
2020-12-01 00:00:00 UTC,23.25047185751969,6236391.463723021,2335034.0140245697
2020-12-02 00:00:00 UTC,21.01011946313484,5677956.592010708,1947816.362263401
2020-12-03 00:00:00 UTC,21.547427390126114,5747356.370462597,1804185.8321532924
2020-12-04 00:00:00 UTC,18.598312068371293,5035237.79144053,2175740.0710507375
2020-12-05 00:00:00 UTC,17.700950286117006,4795697.806108449,1860058.8152790747
2020-12-06 00:00:00 UTC,17.23028007702875,5310165.879716388,1378098.7459757868
2020-12-07 00:00:00 UTC,20.24568489875853,6249439.381378663,2450724.821105928
2020-12-08 00:00:00 UTC,17.151758543538712,5755190.927613225,1796191.8571573605
2020-12-09 00:00:00 UTC,17.33919756982143,5863845.216662547,1774975.0394992887
2020-12-10 00:00:00 UTC,16.886592221849547,5697719.647291387,1960331.5814030152
2020-12-11 00:00:00 UTC,17.09770990590882,5759512.734668885,1823638.7660741934
2020-12-12 00:00:00 UTC,14.880917361108962,5001567.733560497,1515009.0374891674
2020-12-13 00:00:00 UTC,16.350342076346838,6228889.65415844,1305651.9370870858
2020-12-14 00:00:00 UTC,15.54154705964758,5966427.51747966,1514264.5397140863
2020-12-15 00:00:00 UTC,15.489408732028819,5682774.34947702,1724618.161669227
2020-12-16 00:00:00 UTC,13.551155356448986,5195072.18457559,1579140.8255940818
2020-12-17 00:00:00 UTC,14.197910243254704,5461180.152537498,1121376.6027535961
2020-12-18 00:00:00 UTC,15.785501390198101,6083067.926716652,1182010.42954001
2020-12-19 00:00:00 UTC,11.788618426524295,4878121.445908942,1507823.877206222
2020-12-20 00:00:00 UTC,10.994242636105371,4598692.468850655,1067918.0093586193
2020-12-21 00:00:00 UTC,10.617778311602427,4535657.158934397,938329.3291032952
