snapped_at,price,market_cap,total_volume
2024-01-04 00:00:00 UTC,1.2281619727493163,0.0,463493659.26682115
2024-01-05 00:00:00 UTC,1.2281619727493163,0.0,463493659.26682115
2024-01-06 00:00:00 UTC,1.1812000083794478,0.0,201857496.97991475
2024-01-07 00:00:00 UTC,1.312494356553282,0.0,130107686.37867214
2024-01-08 00:00:00 UTC,1.489841276922056,0.0,261783841.76331764
2024-01-09 00:00:00 UTC,1.359229513935413,0.0,199998502.24724853
2024-01-10 00:00:00 UTC,1.160440158701896,0.0,158801514.93258053
2024-01-11 00:00:00 UTC,1.1356090205075704,0.0,162280497.81857336
2024-01-12 00:00:00 UTC,1.1271102408745026,0.0,146688825.549596
2024-01-13 00:00:00 UTC,1.019212618277611,0.0,64044616.99616168
2024-01-14 00:00:00 UTC,1.072641378703716,0.0,60305746.50183308
2024-01-15 00:00:00 UTC,1.2049845853545458,0.0,160896109.12725475
2024-01-16 00:00:00 UTC,1.4149416960249448,0.0,242358384.64619154
2024-01-17 00:00:00 UTC,1.3352667404124339,0.0,128238593.53115597
2024-01-18 00:00:00 UTC,1.3292826524167973,0.0,107001278.22477892
2024-01-19 00:00:00 UTC,1.1476453957426658,0.0,86711172.56664054
2024-01-20 00:00:00 UTC,1.072006955187319,0.0,72843288.53434788
2024-01-21 00:00:00 UTC,1.0857927642235161,0.0,43451160.75314316
2024-01-22 00:00:00 UTC,1.1619858247340158,0.0,70204908.36678772
2024-01-23 00:00:00 UTC,1.0487491425405944,0.0,46435801.839372925
2024-01-24 00:00:00 UTC,1.013968680647479,0.0,52062375.369340844
2024-01-25 00:00:00 UTC,1.0937249604792867,0.0,45432377.84630235
2024-01-26 00:00:00 UTC,1.010291271212842,0.0,46954691.403461464
2024-01-27 00:00:00 UTC,1.1254214844894712,0.0,58824085.17058532
2024-01-28 00:00:00 UTC,1.240571531066428,0.0,103471668.52761048
2024-01-29 00:00:00 UTC,1.1722115134912918,0.0,72696618.03408583
2024-01-30 00:00:00 UTC,1.2306293279150293,0.0,87271322.72168007
2024-01-31 00:00:00 UTC,1.2783699249881166,0.0,140128962.96318907
2024-02-01 00:00:00 UTC,1.188262338222112,0.0,152022430.46856645
2024-02-02 00:00:00 UTC,1.1414972737490794,0.0,62831743.599449776
2024-02-03 00:00:00 UTC,1.172292913390718,0.0,42306323.202235825
2024-02-04 00:00:00 UTC,1.1650757049621019,0.0,48073641.86673526
2024-02-05 00:00:00 UTC,1.0955875027864619,0.0,34124521.62672384
