snapped_at,price,market_cap,total_volume
2024-02-18 00:00:00 UTC,2.7456443550447203,0.0,1644395.198873086
2024-02-19 00:00:00 UTC,2.7456443550447203,0.0,1644395.198873086
2024-02-20 00:00:00 UTC,3.1959718418557896,0.0,2959858.5075160996
2024-02-21 00:00:00 UTC,3.25129384535973,0.0,2982408.2534275227
2024-02-22 00:00:00 UTC,3.775315339005973,0.0,2239773.633611377
2024-02-23 00:00:00 UTC,4.444299017906538,0.0,1623186.0730832634
2024-02-24 00:00:00 UTC,3.721834564205674,0.0,1519864.1277916185
2024-02-25 00:00:00 UTC,4.077777494882325,0.0,1083855.2739932856
2024-02-26 00:00:00 UTC,5.288971735086742,0.0,1694005.2670982634
2024-02-27 00:00:00 UTC,6.023845613710631,0.0,1892510.230782936
2024-02-28 00:00:00 UTC,5.277805062985894,0.0,1251667.765099681
2024-02-29 00:00:00 UTC,5.755056358308001,0.0,1923485.7986531532
2024-03-01 00:00:00 UTC,5.132323677571021,0.0,1085925.5967399734
2024-03-02 00:00:00 UTC,6.501968914135623,0.0,1639422.746780112
2024-03-03 00:00:00 UTC,6.552402918576462,0.0,835465.0524435665
2024-03-04 00:00:00 UTC,8.265950423610452,0.0,1174583.297289004
2024-03-05 00:00:00 UTC,9.345564425400253,0.0,1771778.3870883293
2024-03-06 00:00:00 UTC,9.515516925314337,0.0,2256379.8777344734
2024-03-07 00:00:00 UTC,13.573028336424555,0.0,3365660.4013073393
2024-03-08 00:00:00 UTC,14.479708688571282,0.0,3416409.0107169813
2024-03-09 00:00:00 UTC,14.531099641203117,0.0,3296743.933377419
2024-03-10 00:00:00 UTC,15.733682161343706,0.0,2609779.228955451
2024-03-11 00:00:00 UTC,13.044668823260018,0.0,2764771.6433617123
2024-03-12 00:00:00 UTC,13.433036597003486,0.0,2378134.1266079443
2024-03-13 00:00:00 UTC,12.76631077957898,0.0,1928892.5798316859
2024-03-14 00:00:00 UTC,13.812771154278202,0.0,2285511.838310881
2024-03-15 00:00:00 UTC,12.010681035096,0.0,1844376.2524382772
2024-03-16 00:00:00 UTC,8.344823048915648,0.0,10136479.704352876
2024-03-17 00:00:00 UTC,6.3473943704885185,0.0,5471520.130357099
2024-03-18 00:00:00 UTC,9.008465369372951,0.0,3509640.686006879
2024-03-19 00:00:00 UTC,7.614480356491519,0.0,647236.9596970894
2024-03-20 00:00:00 UTC,7.542564430476112,0.0,2512112.731823849
2024-03-21 00:00:00 UTC,8.082840634054072,0.0,2890203.716877472
2024-03-22 00:00:00 UTC,7.184490461337853,0.0,647631.0771450276
2024-03-23 00:00:00 UTC,7.094390994003511,0.0,1773030.7135806489
2024-03-24 00:00:00 UTC,6.4807418494588545,0.0,1404052.4477565049
2024-03-25 00:00:00 UTC,6.352781562817734,0.0,3533240.926556441
2024-03-26 00:00:00 UTC,6.124993851109919,0.0,1320891.1286766266
2024-03-27 00:00:00 UTC,7.053311066870722,0.0,2665727.632045103
2024-03-28 00:00:00 UTC,7.445279273204388,0.0,1912405.9129098167
2024-03-29 00:00:00 UTC,6.45690144438283,0.0,1937622.773584175
2024-03-30 00:00:00 UTC,8.39330228348994,0.0,2670475.3126550494
2024-03-31 00:00:00 UTC,7.887412149794727,0.0,1268732.6401376666
2024-04-01 00:00:00 UTC,8.402326799460912,0.0,826140.8697889518
2024-04-02 00:00:00 UTC,8.24442810920251,0.0,1681026.843377575
2024-04-03 00:00:00 UTC,7.147196673886617,0.0,1525133.0275624455
2024-04-04 00:00:00 UTC,8.540210999878253,0.0,1036285.0977116467
2024-04-05 00:00:00 UTC,9.208767154679192,0.0,2031699.9682956678
2024-04-06 00:00:00 UTC,9.525173525538838,0.0,1905287.1610749096
2024-04-07 00:00:00 UTC,9.969818460232643,0.0,1968690.4716826135
2024-04-08 00:00:00 UTC,9.757634393149456,0.0,1034539.9371038077
2024-04-09 00:00:00 UTC,11.607021971841672,0.0,1936519.4868689291
2024-04-10 00:00:00 UTC,10.55427807515393,0.0,1583240.1989127877
2024-04-11 00:00:00 UTC,9.93752171696777,0.0,1466068.7297027048
2024-04-12 00:00:00 UTC,10.085030292938141,0.0,1648346.7008470544
2024-04-13 00:00:00 UTC,8.626914007833959,0.0,1691849.9752628538
2024-04-14 00:00:00 UTC,7.463338664252329,0.0,1763651.546393084
2024-04-15 00:00:00 UTC,8.777876226266299,0.0,2057445.842731931
2024-04-16 00:00:00 UTC,8.439633600635522,0.0,1848610.733234861
2024-04-17 00:00:00 UTC,8.036576117924845,0.0,1243229.5472588115
2024-04-18 00:00:00 UTC,7.324336605598016,0.0,1289983.741123636
2024-04-19 00:00:00 UTC,7.954918058544194,0.0,1563266.983464346
2024-04-20 00:00:00 UTC,6.990938617522452,0.0,1824271.8734409497
2024-04-21 00:00:00 UTC,7.021170729890116,0.0,1535867.6547301519
2024-04-22 00:00:00 UTC,6.39647321136913,0.0,2266954.0115933856
2024-04-23 00:00:00 UTC,7.722159085671648,0.0,2137231.166793828
2024-04-24 00:00:00 UTC,7.881316481923264,1160521356.5664783,1331505.1880061333
2024-04-25 00:00:00 UTC,7.374256795008731,258448960.50841248,3279402.2210955145
2024-04-26 00:00:00 UTC,6.7668772511646615,236495405.5979954,3179019.2017995855
2024-04-27 00:00:00 UTC,6.429397309390726,225354703.74109894,2206843.847901337
2024-04-28 00:00:00 UTC,5.9174761685033825,207937969.27963024,2875213.740877305
2024-04-29 00:00:00 UTC,6.182510259038768,216551837.25128794,3177605.764226613
2024-04-30 00:00:00 UTC,6.136183356528061,216228514.1487695,2861331.1506125857
