snapped_at,price,market_cap,total_volume
2023-04-11 00:00:00 UTC,0.3076592851102461,0.0,5383661.2040385725
2023-04-12 00:00:00 UTC,0.3076592851102461,0.0,5383661.2040385725
2023-04-13 00:00:00 UTC,0.24994577481129004,0.0,1654364.918876173
2023-04-14 00:00:00 UTC,0.3073536343770861,0.0,1151237.6757518777
2023-04-15 00:00:00 UTC,0.2755875906103608,0.0,982776.9601040027
2023-04-16 00:00:00 UTC,0.2462507695989685,0.0,758358.269928942
2023-04-17 00:00:00 UTC,0.22537569620900244,0.0,534881.9024444481
2023-04-18 00:00:00 UTC,0.20457474652260502,0.0,577048.8072087491
2023-04-19 00:00:00 UTC,0.20301148261024393,0.0,664351.7222890903
2023-04-20 00:00:00 UTC,0.19354352542055894,0.0,814567.7135215803
2023-04-21 00:00:00 UTC,0.1819129830799668,0.0,923343.5355312689
2023-04-22 00:00:00 UTC,0.1789983515164145,0.0,1143190.3039789114
2023-04-23 00:00:00 UTC,0.1845121011619447,0.0,1279072.5184745912
2023-04-24 00:00:00 UTC,0.1806488986208218,0.0,1224342.3773673156
2023-04-25 00:00:00 UTC,0.17878665149459125,0.0,1055594.762954767
2023-04-26 00:00:00 UTC,0.1780127259808988,0.0,1188159.5298316851
2023-04-27 00:00:00 UTC,0.18107822213197516,0.0,1107497.5846745458
2023-04-28 00:00:00 UTC,0.19373837212818637,0.0,973766.451647748
2023-04-29 00:00:00 UTC,0.17505011835573642,0.0,714951.0358937107
2023-04-30 00:00:00 UTC,0.18412656903207128,0.0,744675.0504361115
2023-05-01 00:00:00 UTC,0.18835977250591643,0.0,999362.5401318559
2023-05-02 00:00:00 UTC,0.17275323291901054,0.0,605741.1806096522
2023-05-03 00:00:00 UTC,0.17687617553037777,0.0,751593.0922401225
2023-05-04 00:00:00 UTC,0.17296052804459697,0.0,664248.4593448723
2023-05-05 00:00:00 UTC,0.17046666495599028,0.0,509716.5134468408
2023-05-06 00:00:00 UTC,0.15634186951224496,0.0,609165.4733685125
2023-05-07 00:00:00 UTC,0.14136608771145498,0.0,538151.8897900438
2023-05-08 00:00:00 UTC,0.13849251148986377,0.0,483038.3009675007
2023-05-09 00:00:00 UTC,0.11918028977836982,20204271.77820838,548047.0357223303
2023-05-10 00:00:00 UTC,0.11398794498477077,19450384.756654125,472100.72154849296
2023-05-11 00:00:00 UTC,0.10835583424938083,18533549.512125134,617797.4562937141
2023-05-12 00:00:00 UTC,0.10728196117441648,18410428.661072597,669799.8805841794
2023-05-13 00:00:00 UTC,0.0984372271348613,16956990.05874036,607975.7705764621
2023-05-14 00:00:00 UTC,0.1178967462839558,20491372.719095796,1223786.36949242
2023-05-15 00:00:00 UTC,0.11263772076241707,19553622.36362833,645544.6211789811
2023-05-16 00:00:00 UTC,0.10379228512354775,18150288.13266788,636289.0076289042
2023-05-17 00:00:00 UTC,0.10990144330024494,19200878.31138898,731908.0720453789
2023-05-18 00:00:00 UTC,0.1229551558343849,21680920.211488463,822290.0574673316
2023-05-19 00:00:00 UTC,0.13966787330157956,24707441.02940804,1069872.7163704669
2023-05-20 00:00:00 UTC,0.12730709851374652,22568742.172032595,682776.5325794473
2023-05-21 00:00:00 UTC,0.12044007721379174,21451539.140633434,580738.6469817559
2023-05-22 00:00:00 UTC,0.13535192940952426,24015610.597678017,651555.1611398703
2023-05-23 00:00:00 UTC,0.13277591038600547,23822279.15008639,862173.6996150297
2023-05-24 00:00:00 UTC,0.1290967963004636,23255303.707082473,932802.2000562771
2023-05-25 00:00:00 UTC,0.12488848166874993,22545425.879575115,580435.7541639117
2023-05-26 00:00:00 UTC,0.1315914719605963,23913505.443160918,616339.0815082028
2023-05-27 00:00:00 UTC,0.13804587717142747,25243936.31527775,825886.6905230893
2023-05-28 00:00:00 UTC,0.1374734897400304,25165283.057875197,600746.6388749066
2023-05-29 00:00:00 UTC,0.15079670068668766,27551450.954639092,665187.1938358222
2023-05-30 00:00:00 UTC,0.14595086154373718,26933092.24805159,742883.1680305931
